name,price
"Samsung Galaxy A23, 6.6"" TFT Screen, 4GB/128GB Memory, 50MP Quad Camera, 5000 mAh Battery, Android 12 - Blue"," 150,000"
"Samsung Galaxy Tab A7, 10.4"" TFT LCD Screen, 3GB/32GB Memory, 8MP Single Camera, 7040 mAh Battery, Android 10 - Grey"," 136,000"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Black"," 230,000"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Black"," 214,350"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - White"," 228,000"
"Samsung Galaxy A13, 6.6"", 4GB/64GB, 5000MAh, Android 12 -Black"," 90,650"
"Samsung Galaxy A23, 6.6"" TFT Screen, 4GB/64GB Memory, 50MP Quad Camera, 5000 mAh Battery, Android 12 - Peach"," 121,798"
"Samsung Galaxy S21 FE 5G, 6.4-Inch 6GB RAM, 128GB ROM Android 12 (12MP +8MP +12MP) + 32MP  Dual SIM - Graphite"," 349,900"
"Samsung Galaxy A13, 4GB/128GB Memory - Black"," 103,000"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Black"," 228,000"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Peach"," 228,000"
"Samsung Galaxy A13, 4GB/128GB Memory - Black"," 103,000"
"Samsung Galaxy A13, 4GB/128GB Memory - Light Blue"," 103,000"
"Samsung Galaxy A23, 6.6"" TFT Screen, 4GB/64GB Memory, 50MP Quad Camera, 5000 mAh Battery, Android 12 - Blue"," 121,798"
"Samsung Galaxy A03, 3GB/32GB Memory, Android 11 - Black"," 58,400"
"Samsung Galaxy A23, 6.6"" TFT Screen, 4GB/64GB Memory, 50MP Quad Camera, 5000 mAh Battery, Android 12 - Black"," 121,798"
"Samsung Galaxy A33 5G, 6GB/128GB Memory - Peach"," 173,050"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Blue"," 228,000"
"Samsung Galaxy A03, 4GB/64GB Memory, Android 11 - Black"," 66,950"
"Samsung Galaxy A13, 4GB/64GB Memory, 5000 MAh Battery - White"," 90,650"
"Samsung Galaxy A73 5G, 8GB/256GB Memory - Awesome Mint"," 280,200"
"Samsung Galaxy A03, 4GB/64GB Memory, Android 11 - Red"," 66,950"
"Samsung Galaxy A03 Core, 2GB/32GB Memory - Blue"," 47,000"
"Samsung Galaxy S7 Edge 5.5"" (4GB, 32GB ROM) Pouch And Screen Guide"," 85,000"
"Samsung Galaxy A13, 4GB/128GB Memory, 5000 MAh Battery - Blue"," 102,000"
"Samsung Galaxy Note 9 Single Sim 6gb Ram 128gb Rom + Free Pouch, Tempered Glass & A Bluetooth Earpiece"," 158,000"
"Samsung Galaxy A03 - 6.5"" (3GB RAM, 32GB ROM) (48/2MP)-4G LTE- Black"," 65,500"
"Samsung Galaxy A13, 4GB/64GB Memory, 5000 MAh Battery - Blue"," 90,650"
"Samsung Galaxy A53, 6.5"" Super AMOLED Screen, 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Blue"," 214,350"
"Samsung Galaxy Tab A8, 10.5"" TFT Screen, 3GB/32GB Memory, 8MP Single Camera, 7040 mAh Battery, Android 11 - Silver"," 143,902"
"Samsung Galaxy A13, 4GB/64GB Memory, Android 12 - Black"," 90,650"
